customer_id,signup_date,city,acquisition_channel,checkout_variant,signup_month
1,2025-03-09,Chennai,paid_social,variant,2025-03
2,2025-07-22,Chennai,organic_search,variant,2025-07
3,2025-05-30,Bengaluru,paid_social,control,2025-05
4,2025-05-12,Bengaluru,organic_search,control,2025-05
5,2025-05-22,Ahmedabad,organic_search,control,2025-05
6,2025-08-24,Kolkata,paid_social,control,2025-08
7,2025-03-08,Hyderabad,email,control,2025-03
8,2025-07-17,Delhi,direct,variant,2025-07
9,2025-04-05,Bengaluru,direct,control,2025-04
10,2025-03-04,Pune,direct,control,2025-03
11,2025-06-08,Pune,direct,variant,2025-06
12,2025-08-22,Delhi,email,variant,2025-08
13,2025-07-18,Mumbai,organic_search,control,2025-07
14,2025-07-12,Hyderabad,email,control,2025-07
15,2025-07-06,Kolkata,organic_search,variant,2025-07
16,2025-07-02,Delhi,organic_search,control,2025-07
17,2025-06-06,Hyderabad,organic_search,variant,2025-06
18,2025-03-05,Delhi,direct,variant,2025-03
19,2025-08-03,Delhi,email,control,2025-08
20,2025-05-19,Pune,referral,variant,2025-05
21,2025-06-02,Bengaluru,referral,control,2025-06
22,2025-05-01,Bengaluru,direct,control,2025-05
23,2025-04-15,Ahmedabad,organic_search,control,2025-04
24,2025-08-06,Delhi,direct,variant,2025-08
25,2025-07-11,Delhi,direct,control,2025-07
26,2025-06-02,Ahmedabad,direct,control,2025-06
27,2025-05-05,Pune,organic_search,variant,2025-05
28,2025-07-11,Mumbai,organic_search,control,2025-07
29,2025-06-18,Hyderabad,referral,variant,2025-06
30,2025-05-11,Pune,organic_search,variant,2025-05
31,2025-05-15,Bengaluru,paid_social,variant,2025-05
32,2025-04-14,Pune,paid_social,variant,2025-04
33,2025-03-08,Chennai,organic_search,variant,2025-03
34,2025-06-06,Bengaluru,organic_search,control,2025-06
35,2025-08-09,Kolkata,referral,variant,2025-08
36,2025-03-01,Hyderabad,direct,variant,2025-03
37,2025-08-17,Ahmedabad,referral,variant,2025-08
38,2025-07-16,Mumbai,organic_search,variant,2025-07
39,2025-04-08,Bengaluru,organic_search,variant,2025-04
40,2025-06-09,Chennai,paid_social,variant,2025-06
41,2025-03-10,Ahmedabad,paid_social,control,2025-03
42,2025-07-17,Delhi,organic_search,control,2025-07
43,2025-07-20,Ahmedabad,direct,variant,2025-07
44,2025-05-03,Delhi,referral,variant,2025-05
45,2025-03-12,Hyderabad,paid_social,control,2025-03
46,2025-07-29,Bengaluru,paid_social,control,2025-07
47,2025-05-12,Hyderabad,paid_social,variant,2025-05
48,2025-08-04,Ahmedabad,organic_search,control,2025-08
49,2025-07-08,Chennai,organic_search,variant,2025-07
50,2025-07-11,Kolkata,paid_social,variant,2025-07
51,2025-07-08,Bengaluru,paid_social,control,2025-07
52,2025-04-11,Ahmedabad,paid_social,control,2025-04
53,2025-05-21,Hyderabad,direct,variant,2025-05
54,2025-05-22,Chennai,organic_search,control,2025-05
55,2025-04-30,Chennai,organic_search,variant,2025-04
56,2025-03-11,Chennai,organic_search,control,2025-03
57,2025-06-22,Pune,organic_search,control,2025-06
58,2025-03-15,Hyderabad,paid_social,control,2025-03
59,2025-07-04,Chennai,direct,variant,2025-07
60,2025-07-15,Ahmedabad,direct,variant,2025-07
61,2025-08-02,Hyderabad,email,variant,2025-08
62,2025-06-29,Pune,paid_social,control,2025-06
63,2025-05-17,Delhi,organic_search,variant,2025-05
64,2025-08-12,Bengaluru,paid_social,control,2025-08
65,2025-05-21,Kolkata,organic_search,variant,2025-05
66,2025-04-09,Chennai,direct,variant,2025-04
67,2025-08-21,Delhi,paid_social,control,2025-08
68,2025-05-11,Pune,organic_search,variant,2025-05
69,2025-03-21,Kolkata,organic_search,control,2025-03
70,2025-05-02,Mumbai,organic_search,control,2025-05
71,2025-07-01,Mumbai,referral,variant,2025-07
72,2025-04-21,Hyderabad,organic_search,variant,2025-04
73,2025-05-23,Chennai,organic_search,control,2025-05
74,2025-03-27,Bengaluru,organic_search,variant,2025-03
75,2025-07-08,Kolkata,direct,control,2025-07
76,2025-04-30,Kolkata,paid_social,variant,2025-04
77,2025-04-27,Pune,email,variant,2025-04
78,2025-04-16,Hyderabad,paid_social,control,2025-04
79,2025-06-05,Mumbai,organic_search,variant,2025-06
80,2025-07-20,Kolkata,direct,variant,2025-07
81,2025-08-23,Ahmedabad,organic_search,variant,2025-08
82,2025-05-07,Hyderabad,organic_search,control,2025-05
83,2025-03-22,Pune,paid_social,control,2025-03
84,2025-07-21,Kolkata,organic_search,variant,2025-07
85,2025-06-13,Chennai,organic_search,variant,2025-06
86,2025-07-16,Delhi,direct,variant,2025-07
87,2025-03-08,Chennai,paid_social,variant,2025-03
88,2025-04-26,Ahmedabad,organic_search,variant,2025-04
89,2025-07-26,Kolkata,organic_search,control,2025-07
90,2025-07-26,Hyderabad,email,control,2025-07
91,2025-05-20,Pune,organic_search,variant,2025-05
92,2025-06-30,Bengaluru,organic_search,control,2025-06
93,2025-08-08,Chennai,email,control,2025-08
94,2025-05-12,Delhi,email,variant,2025-05
95,2025-08-24,Bengaluru,referral,variant,2025-08
96,2025-04-15,Bengaluru,paid_social,variant,2025-04
97,2025-04-15,Bengaluru,organic_search,control,2025-04
98,2025-07-03,Bengaluru,paid_social,variant,2025-07
99,2025-06-21,Mumbai,email,control,2025-06
100,2025-03-10,Chennai,organic_search,control,2025-03
101,2025-07-01,Hyderabad,paid_social,variant,2025-07
102,2025-04-27,Ahmedabad,organic_search,variant,2025-04
103,2025-07-04,Delhi,direct,variant,2025-07
104,2025-03-01,Chennai,direct,variant,2025-03
105,2025-07-01,Delhi,paid_social,variant,2025-07
106,2025-07-11,Pune,referral,control,2025-07
107,2025-07-01,Hyderabad,referral,control,2025-07
108,2025-06-22,Hyderabad,organic_search,variant,2025-06
109,2025-05-14,Chennai,paid_social,variant,2025-05
110,2025-07-08,Kolkata,email,control,2025-07
111,2025-03-31,Bengaluru,organic_search,control,2025-03
112,2025-07-12,Kolkata,paid_social,control,2025-07
113,2025-06-03,Delhi,organic_search,control,2025-06
114,2025-05-27,Bengaluru,referral,variant,2025-05
115,2025-06-07,Bengaluru,paid_social,control,2025-06
116,2025-06-12,Ahmedabad,direct,control,2025-06
117,2025-03-01,Mumbai,paid_social,variant,2025-03
118,2025-03-04,Hyderabad,organic_search,variant,2025-03
119,2025-04-05,Hyderabad,direct,control,2025-04
120,2025-03-02,Kolkata,organic_search,control,2025-03
121,2025-05-20,Hyderabad,organic_search,control,2025-05
122,2025-07-25,Ahmedabad,paid_social,control,2025-07
123,2025-06-26,Chennai,email,control,2025-06
124,2025-05-07,Chennai,organic_search,control,2025-05
125,2025-08-20,Kolkata,organic_search,control,2025-08
126,2025-06-13,Delhi,organic_search,control,2025-06
127,2025-03-02,Hyderabad,organic_search,control,2025-03
128,2025-07-01,Pune,organic_search,variant,2025-07
129,2025-06-14,Delhi,paid_social,control,2025-06
130,2025-06-10,Mumbai,organic_search,control,2025-06
131,2025-05-30,Delhi,organic_search,variant,2025-05
132,2025-06-25,Kolkata,email,control,2025-06
133,2025-03-21,Chennai,email,control,2025-03
134,2025-06-13,Bengaluru,organic_search,variant,2025-06
135,2025-07-26,Chennai,organic_search,variant,2025-07
136,2025-04-27,Chennai,organic_search,control,2025-04
137,2025-06-26,Kolkata,referral,variant,2025-06
138,2025-03-08,Ahmedabad,organic_search,variant,2025-03
139,2025-05-24,Ahmedabad,organic_search,control,2025-05
140,2025-05-14,Delhi,paid_social,control,2025-05
141,2025-08-18,Kolkata,organic_search,control,2025-08
142,2025-04-24,Hyderabad,organic_search,variant,2025-04
143,2025-04-04,Hyderabad,organic_search,control,2025-04
144,2025-05-12,Chennai,email,control,2025-05
145,2025-08-01,Pune,email,variant,2025-08
