session_id,customer_id,event_date,funnel_step,category,checkout_variant
1,1,2025-03-15 00:00:00,view,Electronics,variant
2,1,2025-03-20 00:00:00,view,Books,variant
3,1,2025-04-03 00:00:00,view,Books,variant
4,1,2025-03-13 00:00:00,view,Books,variant
5,2,2025-08-04 00:00:00,view,Home & Kitchen,variant
6,2,2025-08-12 00:00:00,view,Sports,variant
6,2,2025-08-12 00:03:00,add_to_cart,Books,variant
7,3,2025-06-09 00:00:00,view,Beauty,control
8,3,2025-06-19 00:00:00,view,Electronics,control
9,3,2025-06-09 00:00:00,view,Fashion,control
10,4,2025-05-18 00:00:00,view,Home & Kitchen,control
11,4,2025-05-20 00:00:00,view,Beauty,control
12,4,2025-06-04 00:00:00,view,Beauty,control
13,5,2025-06-15 00:00:00,view,Home & Kitchen,control
13,5,2025-06-15 00:03:00,add_to_cart,Books,control
14,5,2025-06-06 00:00:00,view,Sports,control
14,5,2025-06-06 00:03:00,add_to_cart,Home & Kitchen,control
14,5,2025-06-06 00:06:00,checkout,Home & Kitchen,control
14,5,2025-06-06 00:09:00,purchase,Fashion,control
15,5,2025-05-25 00:00:00,view,Home & Kitchen,control
15,5,2025-05-25 00:03:00,add_to_cart,Sports,control
15,5,2025-05-25 00:06:00,checkout,Beauty,control
15,5,2025-05-25 00:09:00,purchase,Home & Kitchen,control
16,5,2025-06-06 00:00:00,view,Home & Kitchen,control
17,6,2025-08-24 00:00:00,view,Beauty,control
18,6,2025-08-26 00:00:00,view,Home & Kitchen,control
18,6,2025-08-26 00:03:00,add_to_cart,Home & Kitchen,control
18,6,2025-08-26 00:06:00,checkout,Beauty,control
18,6,2025-08-26 00:09:00,purchase,Beauty,control
19,6,2025-09-06 00:00:00,view,Books,control
19,6,2025-09-06 00:03:00,add_to_cart,Sports,control
19,6,2025-09-06 00:06:00,checkout,Home & Kitchen,control
19,6,2025-09-06 00:09:00,purchase,Fashion,control
20,6,2025-09-13 00:00:00,view,Electronics,control
20,6,2025-09-13 00:03:00,add_to_cart,Fashion,control
20,6,2025-09-13 00:06:00,checkout,Home & Kitchen,control
20,6,2025-09-13 00:09:00,purchase,Fashion,control
21,6,2025-09-09 00:00:00,view,Books,control
22,7,2025-03-26 00:00:00,view,Electronics,control
22,7,2025-03-26 00:03:00,add_to_cart,Fashion,control
23,7,2025-06-10 00:00:00,view,Fashion,control
24,7,2025-06-20 00:00:00,view,Fashion,control
24,7,2025-06-20 00:03:00,add_to_cart,Books,control
25,7,2025-07-03 00:00:00,view,Beauty,control
26,8,2025-07-30 00:00:00,view,Beauty,variant
27,8,2025-07-17 00:00:00,view,Fashion,variant
28,9,2025-04-12 00:00:00,view,Home & Kitchen,control
28,9,2025-04-12 00:03:00,add_to_cart,Books,control
28,9,2025-04-12 00:06:00,checkout,Sports,control
29,9,2025-04-14 00:00:00,view,Home & Kitchen,control
30,9,2025-05-30 00:00:00,view,Home & Kitchen,control
31,9,2025-06-01 00:00:00,view,Home & Kitchen,control
31,9,2025-06-01 00:03:00,add_to_cart,Beauty,control
32,9,2025-05-05 00:00:00,view,Fashion,control
33,9,2025-05-06 00:00:00,view,Sports,control
34,9,2025-05-28 00:00:00,view,Books,control
34,9,2025-05-28 00:03:00,add_to_cart,Sports,control
35,10,2025-03-22 00:00:00,view,Beauty,control
