order_id,session_id,customer_id,order_date,category,checkout_variant,order_value
1,14,5,2025-06-06 00:09:00,Fashion,control,1739.79
2,15,5,2025-05-25 00:09:00,Home & Kitchen,control,3784.79
3,18,6,2025-08-26 00:09:00,Beauty,control,474.71
4,19,6,2025-09-06 00:09:00,Fashion,control,2258.22
5,20,6,2025-09-13 00:09:00,Fashion,control,453.97
6,43,12,2025-08-26 00:09:00,Electronics,variant,1997.27
7,52,16,2025-07-26 00:09:00,Fashion,control,2240.77
8,57,18,2025-04-10 00:09:00,Sports,variant,1010.86
9,82,26,2025-06-16 00:09:00,Fashion,control,2841.13
10,85,28,2025-08-05 00:09:00,Books,control,2012.93
11,88,29,2025-07-09 00:09:00,Sports,variant,4151.02
12,90,30,2025-06-05 00:09:00,Fashion,variant,1103.94
13,102,34,2025-06-26 00:09:00,Home & Kitchen,control,1154.13
14,105,35,2025-08-27 00:09:00,Sports,variant,552.34
15,115,38,2025-07-24 00:09:00,Fashion,variant,4879.6
16,118,38,2025-08-03 00:09:00,Sports,variant,2941.41
17,122,39,2025-04-22 00:09:00,Electronics,variant,702.61
18,128,39,2025-06-21 00:09:00,Beauty,variant,2219.26
19,137,41,2025-04-01 00:09:00,Home & Kitchen,control,3592.19
20,151,44,2025-05-29 00:09:00,Home & Kitchen,variant,1155.88
21,158,45,2025-05-25 00:09:00,Home & Kitchen,control,1046.25
22,170,49,2025-08-01 00:09:00,Home & Kitchen,variant,456.98
23,175,50,2025-08-06 00:09:00,Home & Kitchen,variant,2732.35
24,187,53,2025-06-27 00:09:00,Home & Kitchen,variant,971.64
25,192,55,2025-05-01 00:09:00,Electronics,variant,586.94
26,194,56,2025-03-31 00:09:00,Fashion,control,2130.44
27,195,56,2025-04-07 00:09:00,Beauty,control,490.13
28,201,57,2025-08-01 00:09:00,Beauty,control,1852.84
29,202,57,2025-08-14 00:09:00,Beauty,control,641.49
30,207,58,2025-07-04 00:09:00,Electronics,control,2284.48
31,208,58,2025-06-30 00:09:00,Electronics,control,713.86
32,214,61,2025-08-09 00:09:00,Beauty,variant,1017.65
33,234,65,2025-05-30 00:09:00,Home & Kitchen,variant,1588.47
34,240,66,2025-05-01 00:09:00,Fashion,variant,1105.66
35,253,69,2025-05-02 00:09:00,Sports,control,4990.76
36,257,70,2025-07-27 00:09:00,Books,control,811.0
37,260,71,2025-07-23 00:09:00,Sports,variant,603.32
38,264,73,2025-06-15 00:09:00,Fashion,control,3745.22
39,267,74,2025-04-02 00:09:00,Fashion,variant,1252.32
40,290,82,2025-05-08 00:09:00,Electronics,control,2173.43
41,298,84,2025-07-28 00:09:00,Electronics,variant,929.27
42,310,89,2025-08-01 00:09:00,Beauty,control,1196.62
43,313,90,2025-08-16 00:09:00,Electronics,control,1841.44
44,326,94,2025-05-21 00:09:00,Sports,variant,1748.52
45,327,94,2025-06-27 00:09:00,Beauty,variant,2948.41
46,329,95,2025-08-27 00:09:00,Electronics,variant,580.93
47,332,96,2025-04-21 00:09:00,Electronics,variant,1688.28
48,333,96,2025-04-23 00:09:00,Home & Kitchen,variant,301.06
49,355,102,2025-06-10 00:09:00,Electronics,variant,1345.38
50,359,103,2025-07-08 00:09:00,Sports,variant,2657.05
51,368,107,2025-07-18 00:09:00,Fashion,control,6211.19
52,388,111,2025-06-24 00:09:00,Beauty,control,1930.75
53,391,111,2025-07-08 00:09:00,Fashion,control,2786.09
54,414,118,2025-03-20 00:09:00,Home & Kitchen,variant,1109.52
55,424,121,2025-06-02 00:09:00,Sports,control,1115.5
56,436,124,2025-06-26 00:09:00,Home & Kitchen,control,1497.52
57,441,126,2025-06-28 00:09:00,Sports,control,1476.7
58,451,130,2025-06-26 00:09:00,Books,control,1794.02
59,454,130,2025-08-02 00:09:00,Fashion,control,628.29
60,464,131,2025-06-05 00:09:00,Fashion,variant,3363.63
61,466,131,2025-06-01 00:09:00,Electronics,variant,1610.07
62,478,137,2025-07-05 00:09:00,Fashion,variant,2288.71
63,480,137,2025-08-18 00:09:00,Beauty,variant,2836.1
64,481,138,2025-03-11 00:09:00,Fashion,variant,740.91
65,483,138,2025-06-01 00:09:00,Beauty,variant,3182.45
66,485,140,2025-06-02 00:09:00,Books,control,1983.79
67,488,140,2025-05-23 00:09:00,Beauty,control,2087.98
68,499,144,2025-06-05 00:09:00,Home & Kitchen,control,1438.34
69,518,149,2025-07-28 00:09:00,Sports,control,3776.91
70,520,150,2025-03-25 00:09:00,Electronics,variant,3187.07
71,524,151,2025-09-01 00:09:00,Electronics,control,1007.77
72,526,152,2025-05-06 00:09:00,Books,variant,1353.59
73,533,153,2025-08-27 00:09:00,Electronics,control,1845.99
74,556,162,2025-07-04 00:09:00,Books,variant,1436.96
75,561,163,2025-05-29 00:09:00,Beauty,control,2989.34
76,575,168,2025-04-16 00:09:00,Home & Kitchen,variant,3195.54
77,576,168,2025-04-24 00:09:00,Beauty,variant,1183.4
78,582,170,2025-03-22 00:09:00,Electronics,control,1036.81
79,619,184,2025-08-08 00:09:00,Electronics,control,1481.05
80,634,188,2025-05-27 00:09:00,Home & Kitchen,control,1867.05
81,644,190,2025-06-01 00:09:00,Beauty,control,1876.86
82,649,192,2025-06-20 00:09:00,Electronics,control,803.09
83,652,193,2025-06-21 00:09:00,Sports,control,635.84
84,655,194,2025-05-18 00:09:00,Home & Kitchen,control,2828.45
85,659,195,2025-09-07 00:09:00,Books,control,1066.77
86,664,196,2025-03-29 00:09:00,Home & Kitchen,variant,1365.19
87,668,197,2025-05-15 00:09:00,Electronics,control,2558.97
88,676,201,2025-06-11 00:09:00,Sports,variant,1690.58
89,677,201,2025-06-06 00:09:00,Books,variant,1374.94
90,679,202,2025-08-24 00:09:00,Home & Kitchen,variant,753.28
91,680,203,2025-05-13 00:09:00,Sports,control,1080.91
92,717,217,2025-03-28 00:09:00,Electronics,variant,939.37
93,719,217,2025-03-22 00:09:00,Beauty,variant,1275.43
94,722,217,2025-04-30 00:09:00,Beauty,variant,881.72
95,729,218,2025-03-19 00:09:00,Electronics,control,655.94
96,735,221,2025-03-05 00:09:00,Electronics,variant,1441.49
97,736,222,2025-05-23 00:09:00,Books,variant,2028.68
98,737,223,2025-07-29 00:09:00,Electronics,variant,424.37
99,739,224,2025-04-28 00:09:00,Electronics,variant,789.94
100,756,229,2025-06-16 00:09:00,Fashion,control,2198.81
101,758,230,2025-04-23 00:09:00,Fashion,control,1771.37
102,764,233,2025-04-04 00:09:00,Books,control,1882.45
103,777,236,2025-07-21 00:09:00,Sports,control,2161.42
